Tag (原名),中文翻译,中英对照 (Bilingual),EhViewer分类 (Namespace),作品数量 (Count)
nsfw,成人内容 (R18),nsfw | 成人内容 (R18),other,374924
wip,草图/制作中 (WIP),wip | 草图/制作中 (WIP),other,199341
commission,约稿/委托,commission | 约稿/委托,other,123132
sketch,草稿/线稿,sketch | 草稿/线稿,other,121411
comic,漫画,comic | 漫画,other,94543
poll,赞助投票,poll | 赞助投票,other,93191
art,插画,art | 插画,other,87390
nude,全裸,nude | 全裸,other,84251
anime,动漫,anime | 动漫,other,80737
fanart,同人二创,fanart | 同人二创,other,75982
r-,r-,r-,other,1875621
animation,动态CG/动画,animation | 动态CG/动画,other,72395
early access,抢先体验版,early access | 抢先体验版,other,67522
oc,原创角色,oc | 原创角色,character,64554
sfw,全年龄 (SFW),sfw | 全年龄 (SFW),other,61924
video,视频,video | 视频,other,58212
furry,兽人/福瑞,furry | 兽人/福瑞,other,56126
update,更新日志,update | 更新日志,other,49409
female,女性,female | 女性,female,47365
sexy,性感/色气,sexy | 性感/色气,other,46493
illustration,插画,illustration | 插画,other,42557
preview,预览图,preview | 预览图,other,40427
pokemon,宝可梦,pokemon | 宝可梦,parody,39488
feet,足控/美足,feet | 足控/美足,female,38428
reaction,反应视频,reaction | 反应视频,other,37057
オリジナル,原创,オリジナル | 原创,other,36911
r,r,r,other,1834593
futanari,扶他,futanari | 扶他,mixed,33840
genshin impact,原神,genshin impact | 原神,parody,33728
hentai,变态,hentai | 变态,other,33687
ai,AI绘画,ai | AI绘画,other,33394
futa,扶他,futa | 扶他,mixed,33159
sex,做爱/性交,sex | 做爱/性交,mixed,33062
giantess,巨大娘 (GTS),giantess | 巨大娘 (GTS),female,31908
boobs,胸部/欧派,boobs | 胸部/欧派,female,31731
ass,美臀/屁股,ass | 美臀/屁股,female,30050
transformation,变身 (TF),transformation | 变身 (TF),mixed,28467
exclusive,赞助限定,exclusive | 赞助限定,other,28253
fantasy,奇幻/魔幻题材,fantasy | 奇幻/魔幻题材,other,27669
one piece,海贼王,one piece | 海贼王,parody,27415
cosplay,Cosplay,cosplay,other,27172
sketches,草稿集/线稿合集,sketches | 草稿集/线稿合集,other,26952
3d,3D渲染,3d | 3D渲染,other,26871
naruto,火影忍者,naruto | 火影忍者,parody,26580
news,新闻/动态公告,news | 新闻/动态公告,other,25890
comics,漫画合集,comics | 漫画合集,other,25247
free,免费公开/免赞助,free | 免费公开/免赞助,other,24714
lingerie,性感内衣,lingerie | 性感内衣,female,24415
male,男性,male | 男性,male,24280
pinup,海报女郎,pinup | 海报女郎,female,23987
commissions,委托插画合集,commissions | 委托插画合集,other,23858
vore,吞噬/胃袋,vore | 吞噬/胃袋,mixed,23314
vtuber,虚拟主播,vtuber | 虚拟主播,parody,23096
anthro,兽人,anthro | 兽人,other,22834
girl,少女/女孩,girl | 少女/女孩,character,22498
milf,熟女/人妻,milf | 熟女/人妻,female,22258
muscle,肌肉/健美肌肉,muscle | 肌肉/健美肌肉,mixed,22110
request,读者点图,request | 读者点图,other,21949
巨乳,巨乳/大胸,巨乳 | 巨乳/大胸,mixed,21628
おっぱい,欧派/乳房/胸部,おっぱい | 欧派/乳房/胸部,mixed,21459
bikini,比基尼,bikini | 比基尼,female,20868
4k,4K超高清分辨率,4k | 4K超高清分辨率,other,20820
naked,裸体,naked | 裸体,other,19803
bondage,捆绑/束缚,bondage | 捆绑/束缚,mixed,19786
psd,PSD源文件,psd | PSD源文件,other,19579
download,下载链接,download | 下载链接,other,19204
ブルーアーカイブ,碧蓝档案,ブルーアーカイブ | 碧蓝档案,parody,19097
gay,男同性恋,gay | 男同性恋,male,18838
announcement,官方公告,announcement | 官方公告,other,18770
public,公开作品,public | 公开作品,other,18652
,,,other,202418618
marvel,漫威宇宙,marvel | 漫威宇宙,parody,18372
audio,音频/音声,audio | 音频/音声,other,18349
asmr,ASMR音声,asmr | ASMR音声,other,18170
,,,other,202518059
game,游戏,game | 游戏,other,17580
original,原创,original | 原创,other,17415
blowjob,口交/口爆,blowjob | 口交/口爆,mixed,17382
release,正式发布,release | 正式发布,other,17372
updates,更新日志合集,updates | 更新日志合集,other,16641
anal,肛交,anal | 肛交,mixed,16609
podcast,播客/谈话节目,podcast | 播客/谈话节目,other,16552
polls,问卷投票合集,polls | 问卷投票合集,other,16426
hololive,Hololive,hololive,parody,16381
full length,完整版,full length | 完整版,other,15986
cum,精液,cum | 精液,male,15961
femdom,女性支配/女王,femdom | 女性支配/女王,female,15942
reward,赞助回馈,reward | 赞助回馈,other,15940
belly,小腹/肚腩,belly | 小腹/肚腩,other,15938
manga,日漫,manga | 日漫,other,15818
ホロライブ,Hololive,ホロライブ | Hololive,parody,15404
bts,bts,bts,other,15365
bleach,死神,bleach | 死神,parody,15257
my hero academia,我的英雄学院,my hero academia | 我的英雄学院,parody,15228
fan art,同人画作,fan art | 同人画作,other,15083
ふたなり,扶他,ふたなり | 扶他,mixed,15074
aiart,AI生成美术,aiart | AI生成美术,other,14995
tg,性转换 (TG),tg | 性转换 (TG),mixed,14959
overwatch,守望先锋,overwatch | 守望先锋,parody,14777
ntr,NTR,ntr,mixed,14651
color,全彩/全彩上色,color | 全彩/全彩上色,other,14437
uncut,未删减版,uncut | 未删减版,other,14336
hd,高清画质,hd | 高清画质,other,14334
patreon exclusive,Patreon限定,patreon exclusive | Patreon限定,other,14303
femboy,男娘/伪娘,femboy | 男娘/伪娘,male,14243
rewards,每月赞助奖励汇总,rewards | 每月赞助奖励汇总,other,14220
solo,单人,solo | 单人,other,14173
bbw,丰满,bbw | 丰满,female,14146
breasts,乳房,breasts | 乳房,female,14072
breast expansion,巨乳化/丰胸,breast expansion | 巨乳化/丰胸,female,14021
blonde,金发/金发少女,blonde | 金发/金发少女,character,13876
butt,屁股,butt | 屁股,female,13841
イラスト,插画/绘图,イラスト | 插画/绘图,other,13826
全体公開,全员公开免费查看,全体公開 | 全员公开免费查看,other,13754
halloween,halloween,halloween,other,13710
blender,blender,blender,other,13329
fgo,FGO,fgo,parody,13327
pov,第一人称主观视角,pov | 第一人称主观视角,other,13091
thicc,肉感,thicc | 肉感,mixed,13039
wips,草稿/半成品合集,wips | 草稿/半成品合集,other,13023
artwork,艺术作品,artwork | 艺术作品,other,13021
gif,GIF动图,gif | GIF动图,other,12982
dragon,巨龙/龙族/异种,dragon | 巨龙/龙族/异种,character,12882
inflation,膨胀/胀肚,inflation | 膨胀/胀肚,mixed,12832
