原标签 (Original Tag),精校中文翻译 (Refined Translation),作品数量 (Count),大类分类 (Primary Category),子分类/说明 (Subcategory)
nsfw,R18 / 成人内容,374924,通用评级,Rating
wip,草图制作中 (WIP),199341,制作状态,Status
commission,约稿 / 定制委托,123132,约稿类型,Commission
sketch,草稿 / 线稿,121411,美术格式,Art Format
comic,漫画 / 连环画,94543,制品类型,Comic
poll,赞助投票 / 调查,93191,互动形式,Poll
art,插画 / 美术作品,87390,美术格式,Art Format
nude,全裸 / 赤裸,84251,外观状态,XP - Body
anime,动漫/日系二次元风格,80737,风格类型,Style
fanart,同人二创,75982,创作类型,Fanart
r-,r-,1875621,分类标签,General
animation,动画 / 动态CG,72395,制品类型,Animation
early access,抢先体验 / 预先发布,67522,发布状态,Status
oc,原创角色 (Original Character),64554,角色类型,Character
sfw,全年龄 / 一般向,61924,通用评级,Rating
video,视频 / 录像,58212,制品类型,Video
furry,兽人 / 福瑞,56126,风格类型,XP - Furry
update,版本更新日志,49409,制作状态,Status
female,女性角色/单人女性,47365,角色属性,Character
sexy,性感/色气,46493,氛围风格,Style
illustration,插画 / 单幅插图,42557,美术格式,Art Format
preview,作品预览图,40427,制作状态,Status
pokemon,宝可梦 / 精灵宝可梦,39488,流行IP/游戏,IP - Pokemon
feet,足控 / 美脚玉足,38428,身体部位,XP - Fetish
reaction,反应视频/观看反应,37057,视频类型,Video
オリジナル,原创作品,36911,创作类型,Original
r,r,1834593,分类标签,General
futanari,扶他 / 双性人,33840,角色属性,XP - Futa
genshin impact,原神,33728,流行IP/游戏,IP - Genshin
hentai,变态/成人动漫/色情内容,33687,通用评级,General
ai,AI辅助 / AI生成,33394,制作形式,AI Art
futa,扶他 / 双性娘,33159,角色属性,XP - Futa
sex,做爱 / 性爱行为,33062,性爱玩法,XP - Sex
giantess,巨大娘 / 女巨人 (GTS),31908,性癖/体型,XP - Size
boobs,胸部 / 欧派,31731,身体部位,XP - Body Part
ass,美臀 / 翘臀丰臀,30050,身体部位,XP - Body Part
transformation,变身 / 身体转变 (TF),28467,性癖/核心,XP - TF
exclusive,赞助者独占限定,28253,发布状态,Status
fantasy,奇幻/魔幻题材,27669,题材风格,Genre
one piece,海贼王 / 航海王,27415,流行IP/动漫,IP - Anime
cosplay,Cosplay/角色扮演,27172,形式类型,Cosplay
sketches,草稿集/线稿合集,26952,美术格式,Art Format
3d,3D建模 / 3D渲染,26871,美术格式,3D
naruto,火影忍者,26580,流行IP/动漫,IP - Anime
news,新闻/动态公告,25890,制作状态,Status
comics,漫画合集/连载漫画,25247,制品类型,Comic
free,免费公开/免赞助,24714,发布状态,Status
lingerie,性感内衣 / 蕾丝胸罩,24415,服装造型,Clothing
male,男性角色,24280,角色属性,Character
pinup,海报女郎/单体性感立绘,23987,美术格式,Art Format
commissions,委托插画合集,23858,约稿类型,Commission
vore,吞噬 / 胃袋消化,23314,性癖/重口,XP - Extreme
vtuber,虚拟主播 / VTuber,23096,VTuber/企划,VTuber
anthro,拟人兽人 (Anthro),22834,风格类型,XP - Furry
girl,少女/女孩,22498,角色属性,Character
milf,熟女 / 丰满人妻,22258,角色属性,Character
muscle,肌肉/健美肌肉,22110,性癖/体型,XP - Muscle
request,读者点图/点梗请求,21949,互动形式,Request
巨乳,巨乳/大胸,21628,性癖/身体部位,XP - Body Part
おっぱい,欧派/乳房/胸部,21459,性癖/身体部位,XP - Body Part
bikini,比基尼,20868,服装造型,Clothing
4k,4K超高清分辨率,20820,画质规格,Format
naked,裸体 / 赤裸,19803,外观状态,XP - Body
bondage,束缚 / 捆绑调教,19786,调教玩法,XP - Bondage
psd,PSD分层工程文件,19579,源文件,Source File
download,下载链接/文件下载,19204,制品类型,Download
ブルーアーカイブ,碧蓝档案 (Blue Archive),19097,IP/作品,IP
gay,男同性恋/BL/Gay,18838,性向分类,XP - Gay/BL
announcement,官方公告/更新说明,18770,制作状态,Status
public,公开作品/免费全员可见,18652,发布状态,Status
,,202418618,分类标签,General
marvel,漫威宇宙 (Marvel),18372,IP/作品,IP
audio,音频 / 语音音声,18349,制品类型,Audio
asmr,ASMR / 助眠音声,18170,制品类型,Audio
,,202518059,分类标签,General
game,游戏 / 独立游戏,17580,制品类型,Game
original,原创作品,17415,创作类型,Original
blowjob,口交 / 口爆,17382,性爱玩法,XP - Sex
release,正式发布版本,17372,制作状态,Status
updates,更新日志合集,16641,制作状态,Status
anal,肛交 / 后庭玩法,16609,性爱玩法,XP - Sex
podcast,播客/谈话节目,16552,制品类型,Audio
polls,问卷投票合集,16426,互动形式,Poll
hololive,Hololive 虚拟主播,16381,VTuber/企划,VTuber
full length,完整版/未删减长视频,15986,视频规格,Video
cum,精液 / 射精,15961,体液细节,XP - Fluids
femdom,女王调教 / 女性支配,15942,玩法/性癖,XP - Femdom
reward,赞助回馈/每月奖励,15940,发布状态,Status
belly,肚腩 / 小腹,15938,身体部位,XP - Body Part
manga,日漫 / 漫画,15818,制品类型,Comic
ホロライブ,Hololive,15404,IP/作品,VTuber
bts,bts,15365,分类标签,General
bleach,死神 / BLEACH,15257,流行IP/动漫,IP - Anime
my hero academia,我的英雄学院,15228,流行IP/动漫,IP - Anime
fan art,同人画作,15083,创作类型,Fanart
ふたなり,扶他/双性异变/扶他那里,15074,性癖/身体异变,XP - Futa/TSF
aiart,AI生成美术,14995,制作形式,AI Art
tg,性转换 / 变性 (TG),14959,性癖/变身,XP - TSF
overwatch,守望先锋 (OW),14777,流行IP/游戏,IP - OW
ntr,NTR / 被他人寝取,14651,剧情题材,XP - NTR
color,全彩/全彩上色,14437,美术格式,Art Format
uncut,未删减版/完整无修版,14336,视频规格,Video
hd,高清画质 (HD),14334,画质规格,Format
patreon exclusive,Patreon赞助限定,14303,发布状态,Status
femboy,伪娘 / 可爱男娘,14243,角色属性,XP - Otokonoko
rewards,每月赞助奖励汇总,14220,发布状态,Status
solo,单人/独角戏/单体展示,14173,演出形式,Format
bbw,丰满/大码丰腴女性 (BBW),14146,性癖/体型,XP - Body Type
breasts,乳房 / 丰满美胸,14072,身体部位,XP - Body Part
breast expansion,巨乳化 / 丰胸膨胀,14021,性癖/体型,XP - Expansion
blonde,金发/金发少女,13876,角色属性,Character
butt,屁股 / 翘臀,13841,身体部位,XP - Body Part
イラスト,插画/绘图,13826,美术格式,Art Format
全体公開,全员公开免费查看,13754,发布状态,Status
halloween,halloween,13710,分类标签,General
blender,blender,13329,分类标签,General
fgo,Fate/Grand Order,13327,流行IP/游戏,IP - FGO
pov,第一人称主观视角 (POV),13091,镜头视角,POV
thicc,肉感/丰满丰腴/微胖性感,13039,性癖/体型,XP - Body Type
wips,草稿/半成品合集,13023,制作状态,Status
artwork,艺术作品/美术成品,13021,美术格式,Art Format
gif,GIF动图,12982,美术格式,Format
dragon,巨龙/龙族/异种,12882,角色类型,Monster
inflation,腹部膨胀 / 充气膨胀,12832,性癖/体型,XP - Expansion
pussy,小穴 / 阴部嫩肉,12827,身体部位,XP - Body Part
latex,乳胶紧身衣 / 胶衣,12690,服装/道具,XP - Latex
star wars,星球大战 (Star Wars),12670,IP/作品,IP
story,图文故事/短篇小说,12606,制品类型,Novel/Story
pregnant,怀孕/孕妇/大肚受孕,12605,性癖/身体状态,XP - Pregnancy
nudity,裸体/赤身裸体,12571,外观状态,XP - Body State
model,3D模型,12491,美术格式,3D
cute,可爱/萌系,12330,氛围风格,Style
lewd,色情/下流/色气满满,12250,氛围风格,Style
genshin,原神 (Genshin),12122,IP/作品,IP
mlp,小马宝莉 (My Little Pony),12055,IP/作品,IP
18+,成人18禁内容,11855,通用评级,General
growth,身体生长/体型增大/肌肉生长,11830,性癖/身体异变,XP - Growth/TF
drawing,手绘/绘画作品,11791,美术格式,Art Format
爆乳,超大爆乳/超丰满乳房,11660,性癖/身体部位,XP - Body Part
waifu,老婆/纸片人老婆,11591,角色属性,Character
portrait,portrait,11405,分类标签,General
mmd,MMD模型 / 舞蹈动作,11316,制品类型,3D
animated,动态 / 动图,11273,制品类型,Animation
human,human,11106,分类标签,General
original character,原创角色 (OC),11077,角色类型,Original
reactions,Reaction 反应视频集,11028,视频类型,Video
booty,翘臀/丰满屁股,10952,性癖/身体部位,XP - Body Part
doodle,随笔涂鸦,10840,美术格式,Art Format
huge breasts,爆乳 / 超大胸部,10769,身体部位,XP - Body Part
koikatsu,恋活 (Koikatsu) 3D捏人/场景,10696,制品类型,3D Game Mod
漫画,漫画/短篇漫,10679,制品类型,Comic
topless,半裸/上身赤裸/袒胸,10658,外观状态,XP - Body State
creampie,中出 / 内部射精,10656,性爱玩法,XP - Sex
原神,原神 (Genshin Impact),10652,IP/作品,IP
weight gain,增重长胖 / 肥妹化,10632,性癖/体型,XP - Expansion
bdsm,BDSM / 调教虐恋,10547,调教玩法,XP - BDSM
timelapse,绘画过程延时摄影视频,10527,视频类型,Video
league of legends,英雄联盟 (LOL),10519,流行IP/游戏,IP - LOL
fat,肥胖/肉感肥美,10507,性癖/体型,XP - Body Type
character,角色展示/人物立绘,10422,角色属性,Character
behind the scenes,behind the scenes,10374,分类标签,General
big boobs,大胸/巨乳,10353,性癖/身体部位,XP - Body Part
work in progress,制作中/未完结半成品,10333,制作状态,Status
中出し,中出/阴道内射,10302,性癖/行为,XP - Sex Play
digital,数码绘/板绘,10277,美术格式,Art Format
hyper,极端夸张比例 (Hyper/超巨型化),10140,性癖/极端体型,XP - Extreme Body
lineart,纯线稿/无色稿,10043,美术格式,Art Format
,,202310010,分类标签,General
christmas,christmas,9992,分类标签,General
wallpaper,高清电脑/手机壁纸,9974,制品类型,Wallpaper
chapter,章节/连载章节,9967,制品类型,Comic/Novel
nikke,胜利女神: 妮姬 (NIKKE),9957,IP/作品,IP
edit,edit,9906,分类标签,General
tf,变身 / 转变 (TF),9850,性癖/核心,XP - TF
tickling,挠痒痒/挠脚心痒刑,9739,性癖/玩法,XP - Tickle/Fetish
digital art,数码艺术作品,9727,美术格式,Art Format
soles,脚底 / 嫩白脚心,9722,身体部位,XP - Fetish
bonus,赞助者附加特典/额外内容,9669,发布状态,Status
finished,完成稿/最终成品,9642,制作状态,Status
bbc,bbc,9500,分类标签,General
nipples,乳头 / 凸点粉嫩乳晕,9498,身体部位,XP - Body Part
sneak peek,先行偷跑预览,9490,制作状态,Status
genshinimpact,genshinimpact,9384,分类标签,General
uncensored,无修/无遮挡/步兵版,9378,画面规格,Uncensored
erotic,情色/色情诱惑,9366,氛围风格,Style
big ass,巨臀 / 蜜桃丰臀,9333,身体部位,XP - Body Part
cartoon,cartoon,9222,美术格式,General
zzz,绝区零,9174,流行IP/游戏,IP - ZZZ
rwby,RWBY (红白黑黄),9173,IP/作品,IP
hot,火辣/性感热辣,9005,氛围风格,Style
big breasts,巨乳 / 大胸,8970,身体部位,XP - Body Part
ych,YCH (Your Character Here) 拍立得定制,8968,约稿类型,Commission
blue archive,蔚蓝档案 / 碧蓝档案,8818,流行IP/游戏,IP - BA
lesbian,女同性恋 / 百合拉拉,8796,性向风格,XP - Yuri
スカトロ,重口味排泄/排泄物 (Scat),8792,性癖/极端玩法,XP - Extreme Kink
#nsfw,nsfw (话题标签),8785,社媒标签,General
fetish,恋物癖/特殊性癖,8666,性癖总称,XP - Fetish
fate,Fate / 命运之夜系列,8623,流行IP/ACG,IP - Fate
skeb,Skeb 委托约稿,8611,约稿类型,Commission
requests,requests,8584,分类标签,General
picture,picture,8583,分类标签,General
photo,photo,8579,分类标签,General
resident evil,生化危机系列,8576,流行IP/游戏,IP - RE
パイズリ,乳交/乳夹/洗面奶,8562,性癖/行为,XP - Sex Play
ブルアカ,碧蓝档案 (Blue Archive),8517,IP/作品,IP
fox,fox,8483,分类标签,General
fart,放屁/排气恋物 (Fart),8385,性癖/特殊玩法,XP - Special Kink
expansion,身体膨胀 / 变大,8375,性癖/体型,XP - Expansion
fortnite,堡垒之夜 (Fortnite),8341,IP/作品,IP
dc,DC 漫画/DC宇宙,8286,IP/作品,IP
barefoot,光脚 / 赤足,8206,身体特征,Clothing
disney,迪士尼 (Disney),8189,IP/作品,IP
youtube,youtube,8171,分类标签,General
vote,vote,8136,分类标签,General
videos,videos,8107,分类标签,General
beach,beach,8085,分类标签,General
rule,rule,348054,分类标签,General
harry potter,harry potter,8035,分类标签,General
fairy tail,fairy tail,8018,分类标签,General
image,image,7992,分类标签,General
frieren,葬送的芙莉莲,7973,IP/作品,IP
zenless zone zero,绝区零,7972,流行IP/游戏,IP - ZZZ
monster,魔物/怪物/异种魔兽,7967,角色类型,Monster
attack on titan,进击的巨人,7955,IP/作品,IP
teaser,预告片/新作预告,7944,制作状态,Status
fmg,女性肌肉生长 (Female Muscle Growth),7940,性癖/体型异变,XP - Muscle/TF
yuri,百合 / 少女姬恋,7927,性向风格,XP - Yuri
magic,魔法/催眠术/变身魔法,7910,题材元素,Genre
patreon,Patreon 赞助平台,7850,平台属性,Platform
render,3D渲染图,7811,制作形式,3D
jujutsu kaisen,咒术回战,7795,流行IP/动漫,IP - Anime
ai art,AI绘画作品,7760,制作形式,AI Art
demon slayer,鬼灭之刃,7758,流行IP/动漫,IP - Anime
werewolf,狼人/变身狼人,7741,角色类型,XP - Furry/TF
wolf,狼/狼妖,7734,角色类型,Furry
swimsuit,死库水 / 比基尼泳衣,7717,服装造型,Clothing
dress,连衣裙/礼服,7609,服饰配件,Outfit
photography,photography,7491,分类标签,General
dragon ball,龙珠 / 七龙珠,7490,流行IP/动漫,IP - Anime
studio,studio,7477,分类标签,General
azur lane,碧蓝航线,7443,流行IP/游戏,IP - AzurLane
aiイラスト,AI生成插图,7399,制作形式,AI Art
final fantasy,最终幻想系列,7384,流行IP/游戏,IP - FF
sequence,连续变身分镜/变身差分序列,7342,性癖/表现形式,XP - TSF/Sequence
sensual,感性/肉欲诱惑,7331,氛围风格,Style
sims,sims,47328,分类标签,General
realistic,写实逼真画风,7319,风格类型,Style
ポケモン,宝可梦,7315,IP/作品,IP
extras,extras,7292,分类标签,General
nami,娜美 (海贼王),7233,角色名称,Character
process,process,7212,分类标签,General
bimbo,大胸辣妹 / 笨蛋化,7195,角色属性,XP - Bimbo
mha,我的英雄学院 (MHA),7162,IP/作品,IP
legs,美腿/长腿,7158,性癖/身体部位,XP - Legs
size difference,体型差/巨大与微缩差,7127,性癖/体型,XP - Size Diff
cat,cat,7115,分类标签,General
announcements,announcements,7085,分类标签,General
tsf,性转换/TSF (Transsexual Fiction),7081,性癖/核心性转,XP - TSF Core
tutorial,绘画教程/制作教程,7062,教程类型,Tutorial
honkai star rail,崩坏：星穹铁道,7044,IP/作品,IP
penis,肉棒 / 阴茎,7023,身体部位,XP - Body Part
movie,movie,7013,分类标签,General
street fighter,街头霸王,6964,流行IP/游戏,IP - SF
woman,成熟女性/单体女子,6957,角色属性,Character
curvy,前凸后翘/曲线丰满,6907,性癖/体型,XP - Body Type
photosensualis,photosensualis,6806,分类标签,General
macro,巨大化/微距特写/巨大视点,6789,性癖/体型变异,XP - Size TF
semi-real,semi-real,6787,分类标签,General
beauty,beauty,6728,分类标签,General
paying publications,paying publications,6699,分类标签,General
masturbation,自慰 / 手淫自慰,6695,性爱玩法,XP - Sex
